trade_date,shibor_3m,shibor_ma20,shibor_signal,regime_state,year,month
2015-01-05,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-06,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-07,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-08,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-09,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-12,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-13,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-14,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-15,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-16,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-19,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-20,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-21,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-22,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-23,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-26,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-27,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-28,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-29,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-01-30,3.0172,3.05322,3.0172,Risk-On,2015,1
2015-02-02,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-03,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-04,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-05,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-06,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-09,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-10,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-11,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-12,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-13,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-16,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-17,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-25,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-26,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-02-27,3.0172,3.05322,3.0172,Risk-On,2015,2
2015-03-02,3.0172,3.05322,3.0172,Risk-On,2015,3
2015-03-03,3.0172,3.05322,3.0172,Risk-On,2015,3
2015-03-04,3.0172,3.05322,3.0172,Risk-On,2015,3
2015-03-05,3.0172,3.05322,3.0172,Risk-On,2015,3
2015-03-06,3.0172,3.05322,3.0172,Risk-On,2015,3
