ts_code,avg_weight,observations,rank,size_group
002236.SZ,0.2748541666666667,48,100,Large
600519.SH,2.8076458333333334,48,2,Large
000423.SZ,0.2553125,48,111,Large
002415.SZ,0.8853125,48,24,Large
600919.SH,0.363483870967742,31,73,Large
601318.SH,5.788395833333333,48,1,Large
600352.SH,0.25752083333333337,48,110,Large
600690.SH,0.44864583333333335,48,49,Large
600028.SH,0.6062708333333333,48,32,Large
600271.SH,0.25266666666666665,48,114,Large
600048.SH,0.7819791666666666,48,28,Large
601288.SH,1.3066250000000001,48,13,Large
601012.SH,0.42196,25,57,Large
300059.SZ,0.4605416666666667,48,45,Large
601901.SH,0.2910625,48,87,Large
601857.SH,0.44075,48,50,Large
000063.SZ,0.511625,48,39,Large
600406.SH,0.27139583333333334,48,102,Large
600660.SH,0.29120833333333335,48,86,Large
600886.SH,0.2750625,48,99,Large
000725.SZ,0.8109583333333333,48,27,Large
001979.SZ,0.42822916666666666,48,55,Large
000338.SZ,0.3489583333333333,48,76,Large
601099.SH,0.27542857142857147,35,98,Large
600000.SH,1.379875,48,11,Large
601088.SH,0.38399999999999995,48,65,Large
600050.SH,0.5027083333333333,48,42,Large
002450.SZ,0.39760975609756094,41,64,Large
601186.SH,0.45208333333333334,48,47,Large
601989.SH,0.5275208333333333,48,36,Large
000001.SZ,0.8698125,48,25,Large
300104.SZ,0.472695652173913,23,44,Large
600585.SH,0.5340208333333333,48,35,Large
600741.SH,0.2872708333333333,48,90,Large
601006.SH,0.4529166666666667,48,46,Large
600104.SH,0.8918333333333334,48,23,Large
600276.SH,1.1505416666666666,48,16,Large
600795.SH,0.3279375,48,81,Large
600009.SH,0.42310416666666667,48,56,Large
600958.SH,0.36754166666666666,48,72,Large
600016.SH,1.911625,48,5,Large
601398.SH,1.1198124999999999,48,17,Large
601988.SH,0.7509583333333333,48,29,Large
600010.SH,0.28089583333333334,48,95,Large
601766.SH,0.8205208333333333,48,26,Large
601377.SH,0.32639583333333333,48,82,Large
600518.SH,0.5115365853658537,41,40,Large
300070.SZ,0.24445833333333333,48,118,Large
002572.SZ,0.14494444444444443,18,246,Medium
603993.SH,0.177875,48,195,Medium
300347.SZ,0.24,1,121,Medium
600005.SH,0.1473076923076923,13,237,Medium
000728.SZ,0.19675,48,172,Medium
600415.SH,0.15731914893617022,47,218,Medium
600153.SH,0.1724375,48,203,Medium
600485.SH,0.2337241379310345,29,125,Medium
600804.SH,0.21185714285714285,35,155,Medium
600867.SH,0.2131111111111111,36,151,Medium
300144.SZ,0.14772916666666666,48,234,Medium
600109.SH,0.21572916666666667,48,147,Medium
300002.SZ,0.13194117647058823,17,273,Medium
601555.SH,0.23127083333333334,48,128,Medium
600315.SH,0.19519999999999998,5,177,Medium
000425.SZ,0.16210416666666666,48,212,Medium
600816.SH,0.1620232558139535,43,213,Medium
300136.SZ,0.2198,25,141,Medium
600023.SH,0.1935,48,178,Medium
300027.SZ,0.18425714285714284,35,188,Medium
600663.SH,0.14766666666666667,42,236,Medium
002470.SZ,0.12014285714285715,35,295,Medium
600446.SH,0.1246111111111111,18,287,Medium
600219.SH,0.14608000000000002,25,241,Medium
600498.SH,0.15005405405405406,37,230,Medium
600516.SH,0.18736842105263157,19,182,Medium
002129.SZ,0.12323529411764707,17,290,Medium
600183.SH,0.173,1,202,Medium
000046.SZ,0.18436363636363637,11,186,Medium
603259.SH,0.11800000000000001,13,300,Medium
600606.SH,0.19932558139534884,43,169,Medium
000503.SZ,0.22736585365853662,41,136,Medium
601607.SH,0.233125,48,126,Medium
002422.SZ,0.17429166666666665,24,198,Medium
002310.SZ,0.14697222222222223,36,238,Medium
600482.SH,0.13664864864864865,37,263,Medium
300058.SZ,0.15688235294117647,17,220,Medium
000792.SZ,0.14300000000000002,41,250,Medium
601111.SH,0.2119791666666667,48,153,Medium
002074.SZ,0.12504166666666666,24,284,Medium
601258.SH,0.135,17,268,Medium
601992.SH,0.12776190476190474,42,282,Medium
603885.SH,0.04911764705882353,17,435,Small
600021.SH,0.09844827586206896,29,356,Small
300433.SZ,0.06652631578947368,19,417,Small
601699.SH,0.1072,5,332,Small
603160.SH,0.07551612903225806,31,400,Small
601698.SH,0.033,1,455,Small
600998.SH,0.06908333333333333,24,412,Small
600582.SH,0.08775,12,377,Small
000408.SZ,0.049916666666666665,12,433,Small
002195.SZ,0.10765217391304348,23,328,Small
600166.SH,0.1044,5,342,Small
600037.SH,0.1111111111111111,18,314,Small
600098.SH,0.07716666666666666,6,395,Small
300182.SZ,0.10733333333333334,6,331,Small
002625.SZ,0.03783333333333334,18,450,Small
601969.SH,0.028199999999999996,5,463,Small
601928.SH,0.09176470588235294,17,370,Small
000937.SZ,0.0706,5,409,Small
601375.SH,0.05425,12,431,Small
000539.SZ,0.060399999999999995,5,424,Small
002831.SZ,0.024000000000000004,12,467,Small
601216.SH,0.1176875,48,301,Small
600733.SH,0.027714285714285716,7,465,Small
002841.SZ,0.030000000000000002,13,459,Small
601298.SH,0.02842857142857143,7,462,Small
000415.SZ,0.10339583333333334,48,345,Small
601838.SH,0.06573684210526315,19,418,Small
002411.SZ,0.07548387096774194,31,401,Small
000999.SZ,0.10963636363636363,11,317,Small
000061.SZ,0.10894117647058824,17,320,Small
