trade_date,yearmonth,regime_state,ts_code,rank,composite_score,target_weight
2015-01-30,2015-01,Risk-On,601398.SH,1,0.6533042758147736,0.04
2015-01-30,2015-01,Risk-On,600000.SH,2,0.644107157112288,0.04
2015-01-30,2015-01,Risk-On,601288.SH,3,0.6145626308032094,0.04
2015-01-30,2015-01,Risk-On,600183.SH,4,0.5729273414220613,0.04
2015-01-30,2015-01,Risk-On,600518.SH,5,0.5082279282351624,0.04
2015-01-30,2015-01,Risk-On,002422.SZ,6,0.4764109158918716,0.04
2015-01-30,2015-01,Risk-On,600585.SH,7,0.45905061261461966,0.04
2015-01-30,2015-01,Risk-On,600153.SH,8,0.4312904087419862,0.04
2015-01-30,2015-01,Risk-On,600519.SH,9,0.40476472340228653,0.04
2015-01-30,2015-01,Risk-On,600104.SH,10,0.37493394442865147,0.04
2015-01-30,2015-01,Risk-On,000001.SZ,11,0.3713345740794006,0.04
2015-01-30,2015-01,Risk-On,601088.SH,12,0.3596052131749017,0.04
2015-01-30,2015-01,Risk-On,600276.SH,13,0.3577513251292003,0.04
2015-01-30,2015-01,Risk-On,600166.SH,14,0.3394706166869701,0.04
2015-01-30,2015-01,Risk-On,600867.SH,15,0.32863463939354176,0.04
2015-01-30,2015-01,Risk-On,601988.SH,16,0.30660728284838773,0.04
2015-01-30,2015-01,Risk-On,600028.SH,17,0.29509934577659114,0.04
2015-01-30,2015-01,Risk-On,601607.SH,18,0.2908443262403835,0.04
2015-01-30,2015-01,Risk-On,000539.SZ,19,0.27750713410247374,0.04
2015-01-30,2015-01,Risk-On,601258.SH,20,0.26848874251819077,0.04
2015-01-30,2015-01,Risk-On,002310.SZ,21,0.2646738716124756,0.04
2015-01-30,2015-01,Risk-On,600315.SH,22,0.2641074191329537,0.04
2015-01-30,2015-01,Risk-On,600016.SH,23,0.2561673252283314,0.04
2015-01-30,2015-01,Risk-On,600406.SH,24,0.24086128959357078,0.04
2015-01-30,2015-01,Risk-On,600005.SH,25,0.2341109377985245,0.04
2015-02-27,2015-02,Risk-On,601288.SH,1,0.9491885730116302,0.04
2015-02-27,2015-02,Risk-On,601398.SH,2,0.8928070716270053,0.04
2015-02-27,2015-02,Risk-On,600000.SH,3,0.885328615114143,0.04
2015-02-27,2015-02,Risk-On,601088.SH,4,0.6730753890473734,0.04
2015-02-27,2015-02,Risk-On,000001.SZ,5,0.6610173620391065,0.04
2015-02-27,2015-02,Risk-On,600183.SH,6,0.6565922555984567,0.04
2015-02-27,2015-02,Risk-On,600166.SH,7,0.6235992695584441,0.04
2015-02-27,2015-02,Risk-On,601988.SH,8,0.6054714633425182,0.04
2015-02-27,2015-02,Risk-On,600585.SH,9,0.5587687428635487,0.04
2015-02-27,2015-02,Risk-On,600104.SH,10,0.5313169963668738,0.04
2015-02-27,2015-02,Risk-On,600016.SH,11,0.51815204173945,0.04
2015-02-27,2015-02,Risk-On,600028.SH,12,0.5108438983049304,0.04
2015-02-27,2015-02,Risk-On,000423.SZ,13,0.4886963250152395,0.04
2015-02-27,2015-02,Risk-On,000338.SZ,14,0.4569445911991682,0.04
2015-02-27,2015-02,Risk-On,000937.SZ,15,0.39302562917732103,0.04
2015-02-27,2015-02,Risk-On,600023.SH,16,0.37462174808995485,0.04
2015-02-27,2015-02,Risk-On,600690.SH,17,0.3651839005845324,0.04
2015-02-27,2015-02,Risk-On,000539.SZ,18,0.354129446374613,0.04
2015-02-27,2015-02,Risk-On,600153.SH,19,0.31815903142500557,0.04
2015-02-27,2015-02,Risk-On,600519.SH,20,0.30669602613809915,0.04
2015-02-27,2015-02,Risk-On,600795.SH,21,0.30127139312410145,0.04
2015-02-27,2015-02,Risk-On,600482.SH,22,0.29342212790146527,0.04
2015-02-27,2015-02,Risk-On,600741.SH,23,0.2930973679353536,0.04
2015-02-27,2015-02,Risk-On,600315.SH,24,0.27551978419366574,0.04
2015-02-27,2015-02,Risk-On,601699.SH,25,0.2735520861352377,0.04
2015-03-31,2015-03,Risk-On,601398.SH,1,0.9137362953469621,0.04
2015-03-31,2015-03,Risk-On,600028.SH,2,0.8436695040630009,0.04
2015-03-31,2015-03,Risk-On,601088.SH,3,0.7807882328154685,0.04
2015-03-31,2015-03,Risk-On,601288.SH,4,0.7717064244617666,0.04
2015-03-31,2015-03,Risk-On,601988.SH,5,0.632732962419784,0.04
2015-03-31,2015-03,Risk-On,600000.SH,6,0.600029170112064,0.04
2015-03-31,2015-03,Risk-On,000937.SZ,7,0.5874855883912363,0.04
2015-03-31,2015-03,Risk-On,600104.SH,8,0.5775782354399852,0.04
2015-03-31,2015-03,Risk-On,601006.SH,9,0.551082115854939,0.04
2015-03-31,2015-03,Risk-On,600023.SH,10,0.5290087907424728,0.04
2015-03-31,2015-03,Risk-On,000063.SZ,11,0.4916667493694842,0.04
2015-03-31,2015-03,Risk-On,000539.SZ,12,0.4873254315879687,0.04
2015-03-31,2015-03,Risk-On,600016.SH,13,0.4307080640978507,0.04
2015-03-31,2015-03,Risk-On,600183.SH,14,0.4192537303477957,0.04
2015-03-31,2015-03,Risk-On,601857.SH,15,0.4073198674811871,0.04
2015-03-31,2015-03,Risk-On,000423.SZ,16,0.38345705885385517,0.04
2015-03-31,2015-03,Risk-On,600660.SH,17,0.3607794561016294,0.04
2015-03-31,2015-03,Risk-On,600795.SH,18,0.34756297015161397,0.04
2015-03-31,2015-03,Risk-On,600050.SH,19,0.3328683777025613,0.04
2015-03-31,2015-03,Risk-On,600582.SH,20,0.31714672699018437,0.04
2015-03-31,2015-03,Risk-On,000001.SZ,21,0.3134415480807953,0.04
2015-03-31,2015-03,Risk-On,600585.SH,22,0.30459964672404116,0.04
2015-03-31,2015-03,Risk-On,600519.SH,23,0.2982077030060617,0.04
2015-03-31,2015-03,Risk-On,601699.SH,24,0.28779289942849495,0.04
2015-03-31,2015-03,Risk-On,600166.SH,25,0.28190351698041766,0.04
2015-04-30,2015-04,Risk-On,601288.SH,1,1.230695477159637,0.04
2015-04-30,2015-04,Risk-On,601398.SH,2,1.1134907503115965,0.04
2015-04-30,2015-04,Risk-On,600000.SH,3,1.0785503686494227,0.04
2015-04-30,2015-04,Risk-On,601988.SH,4,0.9755406060406981,0.04
2015-04-30,2015-04,Risk-On,600104.SH,5,0.9105354848059315,0.04
2015-04-30,2015-04,Risk-On,600016.SH,6,0.7415136555802756,0.04
2015-04-30,2015-04,Risk-On,600585.SH,7,0.703895717610058,0.04
2015-04-30,2015-04,Risk-On,601088.SH,8,0.6940534459619809,0.04
2015-04-30,2015-04,Risk-On,601006.SH,9,0.543338977098788,0.04
2015-04-30,2015-04,Risk-On,600166.SH,10,0.49616482552883845,0.04
2015-04-30,2015-04,Risk-On,600028.SH,11,0.472229870836405,0.04
2015-04-30,2015-04,Risk-On,600183.SH,12,0.3699832857946327,0.04
2015-04-30,2015-04,Risk-On,000937.SZ,13,0.34796558497285107,0.04
2015-04-30,2015-04,Risk-On,000338.SZ,14,0.3263341960561701,0.04
2015-04-30,2015-04,Risk-On,600219.SH,15,0.29661951562472816,0.04
2015-04-30,2015-04,Risk-On,600276.SH,16,0.2906852352897984,0.04
2015-04-30,2015-04,Risk-On,600519.SH,17,0.2897096789331939,0.04
2015-04-30,2015-04,Risk-On,600660.SH,18,0.27053145801733613,0.04
2015-04-30,2015-04,Risk-On,601857.SH,19,0.26270357872010086,0.04
2015-04-30,2015-04,Risk-On,000425.SZ,20,0.24823281729073304,0.04
2015-04-30,2015-04,Risk-On,000539.SZ,21,0.2456120335277706,0.04
2015-04-30,2015-04,Risk-On,600352.SH,22,0.22956740028230188,0.04
2015-04-30,2015-04,Risk-On,601318.SH,23,0.22700993716481344,0.04
2015-04-30,2015-04,Risk-On,002422.SZ,24,0.21220717556779853,0.04
2015-04-30,2015-04,Risk-On,600098.SH,25,0.2092676419968297,0.04
2015-05-29,2015-05,Risk-On,601288.SH,1,1.2819966489322383,0.04
2015-05-29,2015-05,Risk-On,601398.SH,2,1.2792276785095844,0.04
2015-05-29,2015-05,Risk-On,600000.SH,3,1.1165157971942028,0.04
2015-05-29,2015-05,Risk-On,601988.SH,4,1.0865138187184522,0.04
2015-05-29,2015-05,Risk-On,600104.SH,5,0.9232129335099102,0.04
2015-05-29,2015-05,Risk-On,600016.SH,6,0.8214387471836352,0.04
2015-05-29,2015-05,Risk-On,000001.SZ,7,0.7151296673388368,0.04
2015-05-29,2015-05,Risk-On,601088.SH,8,0.6758765795634867,0.04
2015-05-29,2015-05,Risk-On,601006.SH,9,0.5532835694781821,0.04
2015-05-29,2015-05,Risk-On,600028.SH,10,0.5495193471202805,0.04
2015-05-29,2015-05,Risk-On,600660.SH,11,0.44496610937109204,0.04
2015-05-29,2015-05,Risk-On,600585.SH,12,0.44324310981882287,0.04
2015-05-29,2015-05,Risk-On,601857.SH,13,0.420482925997626,0.04
2015-05-29,2015-05,Risk-On,000338.SZ,14,0.4124313330821936,0.04
2015-05-29,2015-05,Risk-On,600519.SH,15,0.4014638076389929,0.04
2015-05-29,2015-05,Risk-On,601318.SH,16,0.3647701409321609,0.04
2015-05-29,2015-05,Risk-On,600166.SH,17,0.3356259237272534,0.04
2015-05-29,2015-05,Risk-On,600741.SH,18,0.3000544289424622,0.04
2015-05-29,2015-05,Risk-On,600219.SH,19,0.2894067265628507,0.04
2015-05-29,2015-05,Risk-On,000937.SZ,20,0.2830805495819521,0.04
2015-05-29,2015-05,Risk-On,600048.SH,21,0.2591733543450653,0.04
2015-05-29,2015-05,Risk-On,000425.SZ,22,0.25540064585292055,0.04
2015-05-29,2015-05,Risk-On,600690.SH,23,0.19919088585294753,0.04
2015-05-29,2015-05,Risk-On,600153.SH,24,0.1972278008506338,0.04
2015-05-29,2015-05,Risk-On,601699.SH,25,0.1890698200263788,0.04
2015-06-30,2015-06,Risk-On,601288.SH,1,1.2119280879510042,0.04
2015-06-30,2015-06,Risk-On,601398.SH,2,1.2029640080905486,0.04
2015-06-30,2015-06,Risk-On,600000.SH,3,1.0373648509161346,0.04
2015-06-30,2015-06,Risk-On,600104.SH,4,0.8928833906807346,0.04
2015-06-30,2015-06,Risk-On,600028.SH,5,0.7949957611905448,0.04
2015-06-30,2015-06,Risk-On,601988.SH,6,0.7517603874212201,0.04
2015-06-30,2015-06,Risk-On,600519.SH,7,0.6521168071624549,0.04
2015-06-30,2015-06,Risk-On,601857.SH,8,0.6401251572138428,0.04
2015-06-30,2015-06,Risk-On,600016.SH,9,0.6304282895925629,0.04
2015-06-30,2015-06,Risk-On,000001.SZ,10,0.59522664546704,0.04
2015-06-30,2015-06,Risk-On,600660.SH,11,0.551847747510442,0.04
2015-06-30,2015-06,Risk-On,601088.SH,12,0.49181804386363376,0.04
2015-06-30,2015-06,Risk-On,601318.SH,13,0.43937777878296325,0.04
2015-06-30,2015-06,Risk-On,600048.SH,14,0.4330673556954241,0.04
2015-06-30,2015-06,Risk-On,601006.SH,15,0.3891008861186348,0.04
2015-06-30,2015-06,Risk-On,600219.SH,16,0.3068194628816018,0.04
2015-06-30,2015-06,Risk-On,600585.SH,17,0.28960669569085473,0.04
2015-06-30,2015-06,Risk-On,600741.SH,18,0.2648510739508739,0.04
2015-06-30,2015-06,Risk-On,601607.SH,19,0.22049056725707145,0.04
2015-06-30,2015-06,Risk-On,000792.SZ,20,0.21659528622984486,0.04
2015-06-30,2015-06,Risk-On,000423.SZ,21,0.20804107467670105,0.04
2015-06-30,2015-06,Risk-On,600183.SH,22,0.20382642332829065,0.04
2015-06-30,2015-06,Risk-On,601377.SH,23,0.17448287531727238,0.04
2015-06-30,2015-06,Risk-On,002422.SZ,24,0.16464634213753224,0.04
2015-06-30,2015-06,Risk-On,000725.SZ,25,0.14344393286409557,0.04
2015-07-31,2015-07,Risk-On,601288.SH,1,1.1551686260665153,0.04
2015-07-31,2015-07,Risk-On,601398.SH,2,1.1506691661629762,0.04
2015-07-31,2015-07,Risk-On,600000.SH,3,1.0836363694349966,0.04
2015-07-31,2015-07,Risk-On,601988.SH,4,0.8964709071579872,0.04
2015-07-31,2015-07,Risk-On,600016.SH,5,0.7845818487622149,0.04
2015-07-31,2015-07,Risk-On,600028.SH,6,0.7452048296554574,0.04
2015-07-31,2015-07,Risk-On,600519.SH,7,0.7184317531740162,0.04
2015-07-31,2015-07,Risk-On,601088.SH,8,0.7067841497218796,0.04
2015-07-31,2015-07,Risk-On,600104.SH,9,0.6856062466760491,0.04
2015-07-31,2015-07,Risk-On,000001.SZ,10,0.6292826262976677,0.04
2015-07-31,2015-07,Risk-On,601006.SH,11,0.5381967954087664,0.04
2015-07-31,2015-07,Risk-On,600660.SH,12,0.39965572038629,0.04
2015-07-31,2015-07,Risk-On,600048.SH,13,0.3553615924958785,0.04
2015-07-31,2015-07,Risk-On,601857.SH,14,0.346907455295412,0.04
2015-07-31,2015-07,Risk-On,600585.SH,15,0.2997615145565428,0.04
2015-07-31,2015-07,Risk-On,600219.SH,16,0.28854671275822685,0.04
2015-07-31,2015-07,Risk-On,600741.SH,17,0.27171872282619114,0.04
2015-07-31,2015-07,Risk-On,601111.SH,18,0.239574494436075,0.04
2015-07-31,2015-07,Risk-On,600315.SH,19,0.19536941760645596,0.04
2015-07-31,2015-07,Risk-On,600183.SH,20,0.19107865010758918,0.04
2015-07-31,2015-07,Risk-On,000338.SZ,21,0.1554228232954274,0.04
2015-07-31,2015-07,Risk-On,000937.SZ,22,0.1416347959703353,0.04
2015-07-31,2015-07,Risk-On,600733.SH,23,0.12570346767413249,0.04
2015-07-31,2015-07,Risk-On,600050.SH,24,0.11873763562172404,0.04
2015-07-31,2015-07,Risk-On,600166.SH,25,0.1054506102562763,0.04
2015-08-31,2015-08,Risk-On,601398.SH,1,1.2625753278817622,0.04
2015-08-31,2015-08,Risk-On,601288.SH,2,1.2271520722477347,0.04
2015-08-31,2015-08,Risk-On,601988.SH,3,1.0325485750709054,0.04
2015-08-31,2015-08,Risk-On,600000.SH,4,0.8985771794296836,0.04
2015-08-31,2015-08,Risk-On,600016.SH,5,0.8366247532551064,0.04
2015-08-31,2015-08,Risk-On,600028.SH,6,0.8363515321171427,0.04
2015-08-31,2015-08,Risk-On,601857.SH,7,0.7352863460463523,0.04
2015-08-31,2015-08,Risk-On,600104.SH,8,0.6902147013013813,0.04
2015-08-31,2015-08,Risk-On,601088.SH,9,0.5853774274077986,0.04
2015-08-31,2015-08,Risk-On,000001.SZ,10,0.5241284299816342,0.04
2015-08-31,2015-08,Risk-On,600660.SH,11,0.5001376571716141,0.04
2015-08-31,2015-08,Risk-On,600485.SH,12,0.49402262026150745,0.04
2015-08-31,2015-08,Risk-On,600519.SH,13,0.47602744849164746,0.04
2015-08-31,2015-08,Risk-On,600585.SH,14,0.42265136068640996,0.04
2015-08-31,2015-08,Risk-On,601006.SH,15,0.39770269387038537,0.04
2015-08-31,2015-08,Risk-On,600219.SH,16,0.38365027014537434,0.04
2015-08-31,2015-08,Risk-On,600741.SH,17,0.34647067527199893,0.04
2015-08-31,2015-08,Risk-On,601318.SH,18,0.30494861918594823,0.04
2015-08-31,2015-08,Risk-On,600315.SH,19,0.294227627374303,0.04
2015-08-31,2015-08,Risk-On,600048.SH,20,0.28684037180963395,0.04
2015-08-31,2015-08,Risk-On,600795.SH,21,0.22111306393865843,0.04
2015-08-31,2015-08,Risk-On,600276.SH,22,0.19142479305781307,0.04
2015-08-31,2015-08,Risk-On,601111.SH,23,0.18294251291792205,0.04
2015-08-31,2015-08,Risk-On,600690.SH,24,0.16762957375080023,0.04
2015-08-31,2015-08,Risk-On,600958.SH,25,0.1647261243594107,0.04
2015-09-30,2015-09,Risk-On,600028.SH,1,1.0017289408797394,0.04
2015-09-30,2015-09,Risk-On,601988.SH,2,0.8979151717112508,0.04
2015-09-30,2015-09,Risk-On,601288.SH,3,0.8876702890055483,0.04
2015-09-30,2015-09,Risk-On,600000.SH,4,0.8615332969948324,0.04
2015-09-30,2015-09,Risk-On,600104.SH,5,0.7763468610542561,0.04
2015-09-30,2015-09,Risk-On,601088.SH,6,0.7368230794942735,0.04
2015-09-30,2015-09,Risk-On,601857.SH,7,0.685534941318676,0.04
2015-09-30,2015-09,Risk-On,601398.SH,8,0.6728944174440069,0.04
