ts_code,holding_return,rebalance_date,exit_date,regime_state,equity_exposure,net_return_after_cost,is_oos
601398.SH,0.008810572687224738,2015-01-30,2015-02-27,Risk-On,1.0,0.008780572687224738,False
601607.SH,0.06979542719614917,2015-01-30,2015-02-27,Risk-On,1.0,0.06976542719614917,False
601288.SH,-0.03468208092485592,2015-01-30,2015-02-27,Risk-On,1.0,-0.03471208092485592,False
601258.SH,0.07073954983922826,2015-01-30,2015-02-27,Risk-On,1.0,0.07070954983922825,False
600153.SH,0.05165289256198302,2015-01-30,2015-02-27,Risk-On,1.0,0.05162289256198302,False
600406.SH,0.017467248908296762,2015-01-30,2015-02-27,Risk-On,1.0,0.017437248908296763,False
002422.SZ,0.04526748971193362,2015-01-30,2015-02-27,Risk-On,1.0,0.045237489711933615,False
600166.SH,0.05271828665568301,2015-01-30,2015-02-27,Risk-On,1.0,0.05268828665568301,False
600000.SH,0.004146510020732297,2015-01-30,2015-02-27,Risk-On,1.0,0.004116510020732297,False
000539.SZ,-0.04748982360922682,2015-01-30,2015-02-27,Risk-On,1.0,-0.047519823609226824,False
600028.SH,0.04809286898839149,2015-01-30,2015-02-27,Risk-On,1.0,0.04806286898839149,False
600276.SH,-0.008597396217145947,2015-01-30,2015-02-27,Risk-On,1.0,-0.008627396217145948,False
600183.SH,0.03738317757009324,2015-01-30,2015-02-27,Risk-On,1.0,0.03735317757009324,False
600519.SH,0.0782819731346649,2015-01-30,2015-02-27,Risk-On,1.0,0.07825197313466489,False
000001.SZ,0.004307250538406082,2015-01-30,2015-02-27,Risk-On,1.0,0.0042772505384060825,False
601088.SH,-0.023622047244094446,2015-01-30,2015-02-27,Risk-On,1.0,-0.023652047244094445,False
600867.SH,0.02079619726678561,2015-01-30,2015-02-27,Risk-On,1.0,0.02076619726678561,False
600518.SH,0.3607937462417323,2015-01-30,2015-02-27,Risk-On,1.0,0.36076374624173235,False
600104.SH,0.07549668874172188,2015-01-30,2015-02-27,Risk-On,1.0,0.07546668874172188,False
600005.SH,0.18960244648318003,2015-01-30,2015-02-27,Risk-On,1.0,0.18957244648318003,False
601988.SH,-0.06590909090909103,2015-01-30,2015-02-27,Risk-On,1.0,-0.06593909090909103,False
600585.SH,0.02780586450960576,2015-01-30,2015-02-27,Risk-On,1.0,0.02777586450960576,False
600016.SH,-0.025343189017951295,2015-01-30,2015-02-27,Risk-On,1.0,-0.025373189017951294,False
600315.SH,-0.008333333333333193,2015-01-30,2015-02-27,Risk-On,1.0,-0.008363333333333193,False
002310.SZ,0.009197751660704467,2015-01-30,2015-02-27,Risk-On,1.0,0.009167751660704467,False
601398.SH,0.061135371179039666,2015-02-27,2015-03-31,Risk-On,1.0,0.061099371179039665,False
000423.SZ,0.09217072532076442,2015-02-27,2015-03-31,Risk-On,1.0,0.09213472532076443,False
601288.SH,0.09880239520958067,2015-02-27,2015-03-31,Risk-On,1.0,0.09876639520958068,False
600153.SH,0.38408644400785774,2015-02-27,2015-03-31,Risk-On,1.0,0.38405044400785776,False
600023.SH,0.10757575757575677,2015-02-27,2015-03-31,Risk-On,1.0,0.10753975757575678,False
600166.SH,0.1815336463223789,2015-02-27,2015-03-31,Risk-On,1.0,0.18149764632237889,False
600000.SH,0.08671713695801775,2015-02-27,2015-03-31,Risk-On,1.0,0.08668113695801775,False
600795.SH,0.1269430051813476,2015-02-27,2015-03-31,Risk-On,1.0,0.1269070051813476,False
000539.SZ,0.15242165242165262,2015-02-27,2015-03-31,Risk-On,1.0,0.1523856524216526,False
600482.SH,0.32080536912751656,2015-02-27,2015-03-31,Risk-On,1.0,0.3207693691275166,False
600028.SH,0.014240506329114222,2015-02-27,2015-03-31,Risk-On,1.0,0.014204506329114222,False
600183.SH,0.15572715572715556,2015-02-27,2015-03-31,Risk-On,1.0,0.15569115572715556,False
601088.SH,0.08010752688172063,2015-02-27,2015-03-31,Risk-On,1.0,0.08007152688172063,False
000001.SZ,0.1258041458184418,2015-02-27,2015-03-31,Risk-On,1.0,0.12576814581844178,False
600519.SH,0.025700078513477997,2015-02-27,2015-03-31,Risk-On,1.0,0.025664078513477996,False
600104.SH,0.02052545155993446,2015-02-27,2015-03-31,Risk-On,1.0,0.02048945155993446,False
600690.SH,0.264187866927593,2015-02-27,2015-03-31,Risk-On,1.0,0.264151866927593,False
000937.SZ,0.10673443456162612,2015-02-27,2015-03-31,Risk-On,1.0,0.10669843456162613,False
601988.SH,0.06569343065693412,2015-02-27,2015-03-31,Risk-On,1.0,0.06565743065693412,False
600585.SH,0.12346286276438834,2015-02-27,2015-03-31,Risk-On,1.0,0.12342686276438834,False
600741.SH,0.08641304347826062,2015-02-27,2015-03-31,Risk-On,1.0,0.08637704347826063,False
600016.SH,0.05092091007583943,2015-02-27,2015-03-31,Risk-On,1.0,0.05088491007583943,False
600315.SH,0.11685924369747913,2015-02-27,2015-03-31,Risk-On,1.0,0.11682324369747914,False
601699.SH,0.17000955109837634,2015-02-27,2015-03-31,Risk-On,1.0,0.16997355109837634,False
000338.SZ,0.1632577166232798,2015-02-27,2015-03-31,Risk-On,1.0,0.1632217166232798,False
000063.SZ,0.4249771271729188,2015-03-31,2015-04-30,Risk-On,1.0,0.4249531271729188,False
601398.SH,0.11316872427983471,2015-03-31,2015-04-30,Risk-On,1.0,0.11314472427983471,False
000423.SZ,0.2586909614001427,2015-03-31,2015-04-30,Risk-On,1.0,0.25866696140014267,False
601288.SH,0.07901907356948223,2015-03-31,2015-04-30,Risk-On,1.0,0.07899507356948224,False
601006.SH,0.2665457842248411,2015-03-31,2015-04-30,Risk-On,1.0,0.2665217842248411,False
600023.SH,0.22845417236662113,2015-03-31,2015-04-30,Risk-On,1.0,0.22843017236662114,False
600166.SH,0.12052980132450353,2015-03-31,2015-04-30,Risk-On,1.0,0.12050580132450353,False
600000.SH,0.1443951868271054,2015-03-31,2015-04-30,Risk-On,1.0,0.1443711868271054,False
601857.SH,0.1415174765558398,2015-03-31,2015-04-30,Risk-On,1.0,0.1414934765558398,False
600795.SH,0.4436781609195408,2015-03-31,2015-04-30,Risk-On,1.0,0.4436541609195408,False
000539.SZ,0.3189122373300368,2015-03-31,2015-04-30,Risk-On,1.0,0.3188882373300368,False
600028.SH,0.26677067082683315,2015-03-31,2015-04-30,Risk-On,1.0,0.2667466708268331,False
600183.SH,0.13585746102449847,2015-03-31,2015-04-30,Risk-On,1.0,0.13583346102449848,False
601088.SH,0.1304131408661029,2015-03-31,2015-04-30,Risk-On,1.0,0.1303891408661029,False
000001.SZ,0.0603174603174601,2015-03-31,2015-04-30,Risk-On,1.0,0.0602934603174601,False
